,Method,Block1,Block2
49,Raw FM 4-64,0.03325505,0.028668148
50,Raw FM 4-64,0.03288514,0.028335229
51,Raw FM 4-64,0.033957884,0.02996284
52,Raw FM 4-64,0.030332752,0.0359924
53,Raw FM 4-64,0.031331513,0.03421682
54,Raw FM 4-64,0.031442486,0.0359924
55,Raw FM 4-64,0.032034345,0.03758302
56,Raw FM 4-64,0.03610337,0.040690277
57,Raw FM 4-64,0.028594166,0.044537354
58,Raw FM 4-64,0.034290805,0.041356117
59,Raw FM 4-64,0.030850627,0.04305771
60,Raw FM 4-64,0.03292213,0.049901076
61,Raw FM 4-64,0.031479478,0.04598001
62,Raw FM 4-64,0.036917176,0.0535632
63,Raw FM 4-64,0.031516466,0.051824614
64,Raw FM 4-64,0.030887619,0.062108155
65,Raw FM 4-64,0.031479478,0.06495648
66,Raw FM 4-64,0.031997353,0.060369574
67,Raw FM 4-64,0.033329036,0.06288497
68,Raw FM 4-64,0.031442486,0.06754585
69,Raw FM 4-64,0.036436293,0.069839306
70,Raw FM 4-64,0.02807629,0.075831875
71,Raw FM 4-64,0.039765496,0.080936655
72,Raw FM 4-64,0.031183546,0.09066533
73,Raw FM 4-64,0.03373594,0.097878605
74,Raw FM 4-64,0.035178594,0.12155295
75,Raw FM 4-64,0.036510274,0.13523968
76,Raw FM 4-64,0.03702815,0.16435172
77,Raw FM 4-64,0.04180001,0.17027031
78,Raw FM 4-64,0.04150408,0.2422181
79,Raw FM 4-64,0.04216992,0.32186007
80,Raw FM 4-64,0.043464612,0.49142754
81,Raw FM 4-64,0.04660886,0.6756805
82,Raw FM 4-64,0.04087523,0.83788675
83,Raw FM 4-64,0.041319124,0.9200811
84,Raw FM 4-64,0.047089744,0.9847416
85,Raw FM 4-64,0.046053994,1.016887
86,Raw FM 4-64,0.046090983,1.0500311
87,Raw FM 4-64,0.049087267,1.0700803
88,Raw FM 4-64,0.0510478,1.0870962
89,Raw FM 4-64,0.052786384,1.045925
90,Raw FM 4-64,0.05999966,1.0096368
91,Raw FM 4-64,0.06499346,0.84276956
92,Raw FM 4-64,0.07176285,0.5911557
93,Raw FM 4-64,0.08323011,0.401687
94,Raw FM 4-64,0.09221896,0.2853128
95,Raw FM 4-64,0.09155312,0.23230448
96,Raw FM 4-64,0.10035702,0.18835898
97,Raw FM 4-64,0.12273667,0.16960447
98,Raw FM 4-64,0.13161455,0.15787826
99,Raw FM 4-64,0.15488198,0.14045542
100,Raw FM 4-64,0.18195951,0.1397526
101,Raw FM 4-64,0.23666944,0.13361207
102,Raw FM 4-64,0.29315493,0.1389388
103,Raw FM 4-64,0.40113214,0.14337774
104,Raw FM 4-64,0.52124244,0.15695348
105,Raw FM 4-64,0.5590104,0.18813704
106,Raw FM 4-64,0.54676634,0.22982608
107,Raw FM 4-64,0.4786286,0.35160097
108,Raw FM 4-64,0.39976346,0.52915853
109,Raw FM 4-64,0.34420273,0.6379495
110,Raw FM 4-64,0.30576894,0.58508915
111,Raw FM 4-64,0.31520167,0.45177302
112,Raw FM 4-64,0.31024486,0.36058983
113,Raw FM 4-64,0.30972698,0.3468661
114,Raw FM 4-64,0.31105867,0.33151478
115,Raw FM 4-64,0.32774168,0.3359907
116,Raw FM 4-64,0.36680433,0.39365992
117,Raw FM 4-64,0.4313169,0.4907987
118,Raw FM 4-64,0.514473,0.5869757
119,Raw FM 4-64,0.5572348,0.5706626
120,Raw FM 4-64,0.5611559,0.44977552
121,Raw FM 4-64,0.48036718,0.2966321
122,Raw FM 4-64,0.3716502,0.213402
123,Raw FM 4-64,0.28054094,0.1845489
124,Raw FM 4-64,0.23282236,0.15980181
125,Raw FM 4-64,0.20359933,0.14500535
126,Raw FM 4-64,0.17526412,0.12077613
127,Raw FM 4-64,0.15262552,0.12606587
128,Raw FM 4-64,0.13135561,0.10350126
129,Raw FM 4-64,0.12451224,0.09329171
130,Raw FM 4-64,0.10953082,0.093994536
131,Raw FM 4-64,0.10202162,0.08141754
132,Raw FM 4-64,0.093254715,0.08600444
133,Raw FM 4-64,0.09284781,0.089185685
134,Raw FM 4-64,0.08422887,0.08126958
135,Raw FM 4-64,0.08004887,0.08060373
136,Raw FM 4-64,0.07516604,0.07975294
137,Raw FM 4-64,0.07875418,0.0727986
138,Raw FM 4-64,0.07634975,0.07683064
139,Raw FM 4-64,0.07653471,0.0678048
140,Raw FM 4-64,0.07287259,0.071614884
141,Raw FM 4-64,0.07379736,0.072391696
142,Raw FM 4-64,0.07276161,0.06543736
143,Raw FM 4-64,0.07413028,0.06491949
144,Raw FM 4-64,0.077940375,0.06251506
145,Raw FM 4-64,0.07557294,0.06499346
146,Raw FM 4-64,0.07106002,0.06554834
147,Raw FM 4-64,0.073871344,0.058520015
148,Raw FM 4-64,0.07276161,0.05778019
149,Raw FM 4-64,0.08759507,0.056929395
150,Raw FM 4-64,0.09514126,0.04461134
151,Raw FM 4-64,0.10483295,0.05108479
152,Raw FM 4-64,0.12066516,0.050899833
153,Raw FM 4-64,0.14781667,0.046423905
154,Raw FM 4-64,0.17297067,0.043575585
155,Raw FM 4-64,0.21273616,0.051639657
156,Raw FM 4-64,0.2778036,0.047422666
157,Raw FM 4-64,0.44925764,0.043575585
158,Raw FM 4-64,0.63506424,0.043279655
159,Raw FM 4-64,0.70027965,0.04823647
160,Raw FM 4-64,0.61390525,0.05049293
161,Raw FM 4-64,0.4702686,0.04372355
162,Raw FM 4-64,0.39809886,0.04424143
163,Raw FM 4-64,0.393327,0.040690277
164,Raw FM 4-64,0.3820447,0.043797534
165,Raw FM 4-64,0.38881406,0.03699116
166,Raw FM 4-64,0.43956596,0.039950453
167,Raw FM 4-64,0.5497626,0.041356117
168,Raw FM 4-64,0.6992439,0.04120815
169,Raw FM 4-64,0.7193671,0.048199482
170,Raw FM 4-64,0.59233946,0.040653285
171,Raw FM 4-64,0.4326116,0.04494426
172,Raw FM 4-64,0.34534946,0.04305771
173,Raw FM 4-64,0.36336416,0.04568408
174,Raw FM 4-64,0.40901124,0.042539835
175,Raw FM 4-64,0.5339304,0.042354878
176,Raw FM 4-64,0.68670386,0.043538593
177,Raw FM 4-64,0.70257306,0.04720072
178,Raw FM 4-64,0.5615628,0.049568154
179,Raw FM 4-64,0.44378293,0.046793815
180,Raw FM 4-64,0.37986222,0.050344966
181,Raw FM 4-64,0.3845231,0.050307978
182,Raw FM 4-64,0.36891285,0.058002137
183,Raw FM 4-64,0.37875247,0.053119306
184,Raw FM 4-64,0.4250654,0.059370812
185,Raw FM 4-64,0.53322756,0.06155329
186,Raw FM 4-64,0.6270741,0.06303293
187,Raw FM 4-64,0.63920724,0.06414267
188,Raw FM 4-64,0.4967543,0.06595524
189,Raw FM 4-64,0.33284646,0.069987275
190,Raw FM 4-64,0.26419085,0.06976533
191,Raw FM 4-64,0.20800129,0.07723754
192,Raw FM 4-64,0.17230482,0.07653471
193,Raw FM 4-64,0.14674392,0.09565914
194,Raw FM 4-64,0.12750852,0.10575773
195,Raw FM 4-64,0.10383418,0.12122003
196,Raw FM 4-64,0.08959259,0.1376441
197,Raw FM 4-64,0.08082569,0.14925933
198,Raw FM 4-64,0.076016836,0.17060323
199,Raw FM 4-64,0.067138955,0.19316784
200,Raw FM 4-64,0.06617718,0.2079643
201,Raw FM 4-64,0.059481785,0.24636112
202,Raw FM 4-64,0.057299305,0.31076273
203,Raw FM 4-64,0.060258597,0.42288294
204,Raw FM 4-64,0.054340012,0.5297504
205,Raw FM 4-64,0.055560723,0.589972
206,Raw FM 4-64,0.042502843,0.5870867
207,Raw FM 4-64,0.041134167,0.5077407
208,Raw FM 4-64,0.045055233,0.4430431
209,Raw FM 4-64,0.041023195,0.37102133
210,Raw FM 4-64,0.04020939,0.32770467
211,Raw FM 4-64,0.039469566,0.33458504
212,Raw FM 4-64,0.03414284,0.3314778
213,Raw FM 4-64,0.035918415,0.32859248
214,Raw FM 4-64,0.035067618,0.36499175
215,Raw FM 4-64,0.031738415,0.40198293
216,Raw FM 4-64,0.039062664,0.47344986
217,Raw FM 4-64,0.03344001,0.55460846
218,Raw FM 4-64,0.032330275,0.57391787
219,Raw FM 4-64,0.033107087,0.50944227
220,Raw FM 4-64,0.025782838,0.39325303
221,Raw FM 4-64,0.027780361,0.27495527
222,Raw FM 4-64,0.028853104,0.20944394
223,Raw FM 4-64,0.028964078,0.1736365
224,Raw FM 4-64,0.030443724,0.15554783
225,Raw FM 4-64,0.02874213,0.12480817
226,Raw FM 4-64,0.027965317,0.11419171
227,Raw FM 4-64,0.021898767,0.10076392
228,Raw FM 4-64,0.029777883,0.092034005
229,Raw FM 4-64,0.032663193,0.07938303
230,Raw FM 4-64,0.026596643,0.07250267
231,Raw FM 4-64,0.025745846,0.06284798
232,Raw FM 4-64,0.0255239,0.057336297
233,Raw FM 4-64,0.023711333,0.052712403
234,Raw FM 4-64,0.023711333,0.046053994
235,Raw FM 4-64,0.021158943,0.04313169
236,Raw FM 4-64,0.023859298,0.046645854
237,Raw FM 4-64,0.021898767,0.047126736
238,Raw FM 4-64,0.025634874,0.04146709
239,Raw FM 4-64,0.028964078,0.03832284
240,Raw FM 4-64,0.026744608,0.036436293
241,Raw FM 4-64,0.019679297,0.038137887
242,Raw FM 4-64,0.019013455,0.036547266
243,Raw FM 4-64,0.02615275,0.029777883
244,Raw FM 4-64,0.019605314,0.035881426
245,Raw FM 4-64,0.024081245,0.031997353
246,Raw FM 4-64,0.021935757,0.033883903
247,Raw FM 4-64,0.020530093,0.02907505
248,Raw FM 4-64,0.023008501,0.025930803
249,Raw FM 4-64,0.022083722,0.02648567
250,Raw FM 4-64,0.020049209,0.030924609
251,Raw FM 4-64,0.022194695,0.027817352
252,Raw FM 4-64,0.0242662,0.025597882
253,Raw FM 4-64,0.026078768,0.025967794
254,Raw FM 4-64,0.026300713,0.029740892
255,Raw FM 4-64,0.020900005,0.022860536
256,Deconvolved FM 4-64,0.033263296,0.037254892
257,Deconvolved FM 4-64,0.03503734,0.038965575
258,Deconvolved FM 4-64,0.0351007,0.037508328
259,Deconvolved FM 4-64,0.030919027,0.037001457
260,Deconvolved FM 4-64,0.026357202,0.032312915
261,Deconvolved FM 4-64,0.028131245,0.049926624
262,Deconvolved FM 4-64,0.031489253,0.042196866
263,Deconvolved FM 4-64,0.04777243,0.037698403
264,Deconvolved FM 4-64,0.037698403,0.026420562
265,Deconvolved FM 4-64,0.034720544,0.040993053
266,Deconvolved FM 4-64,0.04016939,0.038965575
267,Deconvolved FM 4-64,0.049356397,0.032502994
268,Deconvolved FM 4-64,0.043464042,0.04118313
269,Deconvolved FM 4-64,0.049102962,0.03972588
270,Deconvolved FM 4-64,0.046568613,0.038522065
271,Deconvolved FM 4-64,0.04447778,0.03959916
272,Deconvolved FM 4-64,0.04200679,0.044287704
273,Deconvolved FM 4-64,0.04492129,0.036557946
274,Deconvolved FM 4-64,0.036621306,0.031299178
275,Deconvolved FM 4-64,0.05252433,0.032059483
276,Deconvolved FM 4-64,0.051700667,0.03839535
277,Deconvolved FM 4-64,0.046125103,0.042323586
278,Deconvolved FM 4-64,0.049356397,0.038585424
279,Deconvolved FM 4-64,0.046695333,0.03833199
280,Deconvolved FM 4-64,0.04441442,0.031045744
281,Deconvolved FM 4-64,0.033770166,0.026673995
282,Deconvolved FM 4-64,0.040106032,0.032312915
283,Deconvolved FM 4-64,0.04169,0.034783904
284,Deconvolved FM 4-64,0.040866334,0.041309845
285,Deconvolved FM 4-64,0.045998387,0.033706807
286,Deconvolved FM 4-64,0.036051076,0.03681138
287,Deconvolved FM 4-64,0.03541749,0.03497398
288,Deconvolved FM 4-64,0.047075484,0.031299178
289,Deconvolved FM 4-64,0.042767096,0.031362537
290,Deconvolved FM 4-64,0.032756425,0.036241155
291,Deconvolved FM 4-64,0.03681138,0.031806048
292,Deconvolved FM 4-64,0.037381608,0.030665591
293,Deconvolved FM 4-64,0.03972588,0.033833526
294,Deconvolved FM 4-64,0.041753355,0.030348798
295,Deconvolved FM 4-64,0.043400683,0.036051076
296,Deconvolved FM 4-64,0.0424503,0.03548085
297,Deconvolved FM 4-64,0.040612902,0.0387755
298,Deconvolved FM 4-64,0.03915565,0.033199936
299,Deconvolved FM 4-64,0.046125103,0.032059483
300,Deconvolved FM 4-64,0.046378538,0.027180865
301,Deconvolved FM 4-64,0.054615166,0.026737355
302,Deconvolved FM 4-64,0.055692263,0.036557946
303,Deconvolved FM 4-64,0.04257702,0.033199936
304,Deconvolved FM 4-64,0.039852597,0.03541749
305,Deconvolved FM 4-64,0.03959916,0.03788848
306,Deconvolved FM 4-64,0.043907553,0.028701473
307,Deconvolved FM 4-64,0.03826863,0.034150317
308,Deconvolved FM 4-64,0.034783904,0.048406016
309,Deconvolved FM 4-64,0.039852597,0.044224344
310,Deconvolved FM 4-64,0.035164054,0.041056413
311,Deconvolved FM 4-64,0.03871214,0.04295717
312,Deconvolved FM 4-64,0.044731215,0.05018006
313,Deconvolved FM 4-64,0.03313658,0.049799908
314,Deconvolved FM 4-64,0.042196866,0.040296108
315,Deconvolved FM 4-64,0.03972588,0.043147247
316,Deconvolved FM 4-64,0.032819785,0.05113044
317,Deconvolved FM 4-64,0.035227414,0.040802978
318,Deconvolved FM 4-64,0.045111366,0.049356397
319,Deconvolved FM 4-64,0.03212284,0.048469376
320,Deconvolved FM 4-64,0.035670925,0.05873348
321,Deconvolved FM 4-64,0.036621306,0.058036532
322,Deconvolved FM 4-64,0.031109102,0.04865945
323,Deconvolved FM 4-64,0.03300986,0.039979313
324,Deconvolved FM 4-64,0.033199936,0.03548085
325,Deconvolved FM 4-64,0.03554421,0.038648784
326,Deconvolved FM 4-64,0.028638115,0.036051076
327,Deconvolved FM 4-64,0.041943435,0.029588494
328,Deconvolved FM 4-64,0.02699079,0.026610637
329,Deconvolved FM 4-64,0.031045744,0.023759497
330,Deconvolved FM 4-64,0.030665591,0.025913691
331,Deconvolved FM 4-64,0.03022208,0.013432036
332,Deconvolved FM 4-64,0.027117506,-0.002407629
333,Deconvolved FM 4-64,0.034277037,-0.0057022795
334,Deconvolved FM 4-64,0.03630451,-0.0054488447
335,Deconvolved FM 4-64,0.036621306,0.019007597
336,Deconvolved FM 4-64,0.03636787,0.19932635
337,Deconvolved FM 4-64,0.03548085,0.54564476
338,Deconvolved FM 4-64,0.02413965,0.8765037
339,Deconvolved FM 4-64,0.024266366,0.99378055
340,Deconvolved FM 4-64,0.028067887,1.1203078
341,Deconvolved FM 4-64,0.024203008,1.1664963
342,Deconvolved FM 4-64,0.024899954,1.3032876
343,Deconvolved FM 4-64,0.020021336,1.4038378
344,Deconvolved FM 4-64,0.012354938,1.4560454
345,Deconvolved FM 4-64,0.0108976895,1.4305118
346,Deconvolved FM 4-64,0.01324196,1.4419163
347,Deconvolved FM 4-64,0.01419234,0.90495175
348,Deconvolved FM 4-64,0.015903024,0.28980252
349,Deconvolved FM 4-64,0.018690804,0.041056413
350,Deconvolved FM 4-64,0.015142719,-0.004308389
351,Deconvolved FM 4-64,0.0034847262,-0.0058923555
352,Deconvolved FM 4-64,-0.0038015195,-0.005765638
353,Deconvolved FM 4-64,-0.0055122036,-0.00519541
354,Deconvolved FM 4-64,-0.0058923555,-0.0006335866
355,Deconvolved FM 4-64,-0.0056389207,0.0034213676
356,Deconvolved FM 4-64,-0.005258769,0.004815258
357,Deconvolved FM 4-64,0.007603039,0.0016473251
358,Deconvolved FM 4-64,0.067286894,-0.002787781
359,Deconvolved FM 4-64,0.25970715,-0.0056389207
360,Deconvolved FM 4-64,0.60380805,-0.0058923555
361,Deconvolved FM 4-64,0.731349,-0.0056389207
362,Deconvolved FM 4-64,0.6104607,-0.002977857
363,Deconvolved FM 4-64,0.34669858,0.08984258
364,Deconvolved FM 4-64,0.14813255,0.4718953
365,Deconvolved FM 4-64,0.04865945,0.8494496
366,Deconvolved FM 4-64,0.01558623,0.59595156
367,Deconvolved FM 4-64,0.022999194,0.18589431
368,Deconvolved FM 4-64,0.03643123,0.034213677
369,Deconvolved FM 4-64,0.032312915,0.014572492
370,Deconvolved FM 4-64,0.019451108,0.01894424
371,Deconvolved FM 4-64,0.015839664,0.014445774
372,Deconvolved FM 4-64,0.054615166,0.0793884
373,Deconvolved FM 4-64,0.18741491,0.32224214
374,Deconvolved FM 4-64,0.42298242,0.6564591
375,Deconvolved FM 4-64,0.6197744,0.6696377
376,Deconvolved FM 4-64,0.66583616,0.30862004
377,Deconvolved FM 4-64,0.4222221,0.03782512
378,Deconvolved FM 4-64,0.17024472,-0.003738161
379,Deconvolved FM 4-64,0.033390015,0.002597705
380,Deconvolved FM 4-64,-0.00019007598,0.023379346
381,Deconvolved FM 4-64,0.00082366256,0.034910623
382,Deconvolved FM 4-64,0.012988525,0.038015194
383,Deconvolved FM 4-64,0.016853403,0.05752966
384,Deconvolved FM 4-64,0.019261032,0.05005334
385,Deconvolved FM 4-64,0.0351007,0.043083888
386,Deconvolved FM 4-64,0.039472446,0.047075484
387,Deconvolved FM 4-64,0.03351673,0.048025865
388,Deconvolved FM 4-64,0.028574755,0.062218204
389,Deconvolved FM 4-64,0.041056413,0.07210215
390,Deconvolved FM 4-64,0.044160984,0.06348538
391,Deconvolved FM 4-64,0.042893812,0.06639987
392,Deconvolved FM 4-64,0.04815258,0.069251016
393,Deconvolved FM 4-64,0.05714951,0.06671667
394,Deconvolved FM 4-64,0.058543403,0.074383065
395,Deconvolved FM 4-64,0.063041866,0.062598355
396,Deconvolved FM 4-64,0.05353807,0.07039147
397,Deconvolved FM 4-64,0.06209149,0.06906094
398,Deconvolved FM 4-64,0.06342202,0.061141107
399,Deconvolved FM 4-64,0.056579284,0.062281564
400,Deconvolved FM 4-64,0.05341135,0.06342202
401,Deconvolved FM 4-64,0.047202203,0.068300635
402,Deconvolved FM 4-64,0.043717474,0.074826576
403,Deconvolved FM 4-64,0.03636787,0.06690674
404,Deconvolved FM 4-64,0.025406823,0.0654495
405,Deconvolved FM 4-64,0.02648392,0.062725075
406,Deconvolved FM 4-64,0.025153387,0.047138844
407,Deconvolved FM 4-64,0.022365607,0.05626249
408,Deconvolved FM 4-64,0.0153961545,0.05721287
409,Deconvolved FM 4-64,0.004878617,0.04777243
410,Deconvolved FM 4-64,-0.004625182,0.045998387
411,Deconvolved FM 4-64,-0.0058289967,0.06671667
412,Deconvolved FM 4-64,0.01748699,0.06430904
413,Deconvolved FM 4-64,0.23075224,0.05581898
414,Deconvolved FM 4-64,0.73039865,0.056579284
415,Deconvolved FM 4-64,0.9353639,0.06475255
416,Deconvolved FM 4-64,0.5258769,0.06424568
417,Deconvolved FM 4-64,0.12912495,0.057973173
418,Deconvolved FM 4-64,0.032756425,0.057466306
419,Deconvolved FM 4-64,0.044731215,0.044224344
420,Deconvolved FM 4-64,0.039979313,0.056959435
421,Deconvolved FM 4-64,0.008616778,0.047962505
422,Deconvolved FM 4-64,0.049419753,0.042196866
423,Deconvolved FM 4-64,0.24963312,0.048025865
424,Deconvolved FM 4-64,0.6602606,0.05144723
425,Deconvolved FM 4-64,0.76746345,0.06006401
426,Deconvolved FM 4-64,0.33294976,0.047012124
427,Deconvolved FM 4-64,0.03022208,0.052080818
428,Deconvolved FM 4-64,-0.0054488447,0.04916632
429,Deconvolved FM 4-64,-0.0057022795,0.0501167
430,Deconvolved FM 4-64,0.016283175,0.044604495
431,Deconvolved FM 4-64,0.2260637,0.038078554
432,Deconvolved FM 4-64,0.7143689,0.034467112
433,Deconvolved FM 4-64,0.7839367,0.038015194
434,Deconvolved FM 4-64,0.3318093,0.046695333
435,Deconvolved FM 4-64,0.07058155,0.040359467
436,Deconvolved FM 4-64,0.007412963,0.036621306
437,Deconvolved FM 4-64,0.028448038,0.03636787
438,Deconvolved FM 4-64,0.033390015,0.045935027
439,Deconvolved FM 4-64,0.030855667,0.03966252
440,Deconvolved FM 4-64,0.098395996,0.043844193
441,Deconvolved FM 4-64,0.3376383,0.042260226
442,Deconvolved FM 4-64,0.6793949,0.038648784
443,Deconvolved FM 4-64,0.81168777,0.031615973
444,Deconvolved FM 4-64,0.39668858,0.027561016
445,Deconvolved FM 4-64,0.068617426,0.019641185
446,Deconvolved FM 4-64,-0.0003167933,0.011657993
447,Deconvolved FM 4-64,0.00082366256,0.008109909
448,Deconvolved FM 4-64,0.018183935,0.0058289967
449,Deconvolved FM 4-64,0.023442704,0.011024407
450,Deconvolved FM 4-64,0.028701473,0.013051884
451,Deconvolved FM 4-64,0.028004527,0.014825926
452,Deconvolved FM 4-64,0.02223889,0.009503799
453,Deconvolved FM 4-64,0.01983126,0.0011404558
454,Deconvolved FM 4-64,0.02876483,-0.002977857
455,Deconvolved FM 4-64,0.029018266,-0.0057022795
456,Deconvolved FM 4-64,0.02977857,-0.0056389207
457,Deconvolved FM 4-64,0.030665591,-0.0011404558
458,Deconvolved FM 4-64,0.0424503,0.040296108
459,Deconvolved FM 4-64,0.04726556,0.20015001
460,Deconvolved FM 4-64,0.043273963,0.47740752
461,Deconvolved FM 4-64,0.04764571,0.67305905
462,Deconvolved FM 4-64,0.028638115,0.6079897
463,Deconvolved FM 4-64,0.03300986,0.35512528
464,Deconvolved FM 4-64,0.043464042,0.18139584
465,Deconvolved FM 4-64,0.036557946,0.057402946
466,Deconvolved FM 4-64,0.035227414,0.014002264
467,Deconvolved FM 4-64,0.03972588,0.021478586
468,Deconvolved FM 4-64,0.0340236,0.024709877
469,Deconvolved FM 4-64,0.037191533,0.022365607
470,Deconvolved FM 4-64,0.03453047,0.055185392
471,Deconvolved FM 4-64,0.036177795,0.13546081
472,Deconvolved FM 4-64,0.04682205,0.32490322
473,Deconvolved FM 4-64,0.03839535,0.6176202
474,Deconvolved FM 4-64,0.03598772,0.7298918
475,Deconvolved FM 4-64,0.040486183,0.54773563
476,Deconvolved FM 4-64,0.029588494,0.23873544
477,Deconvolved FM 4-64,0.029208342,0.047012124
478,Deconvolved FM 4-64,0.034593828,-0.00019007598
479,Deconvolved FM 4-64,0.034277037,-0.005575562
480,Deconvolved FM 4-64,0.03674802,-0.0040549543
481,Deconvolved FM 4-64,0.036051076,0.0010137386
482,Deconvolved FM 4-64,0.03167933,0.010137386
483,Deconvolved FM 4-64,0.02699079,0.019514468
484,Deconvolved FM 4-64,0.040612902,0.027054148
485,Deconvolved FM 4-64,0.041309845,0.028954908
486,Deconvolved FM 4-64,0.030919027,0.023759497
487,Deconvolved FM 4-64,0.032059483,0.01653661
488,Deconvolved FM 4-64,0.03256635,0.020718282
489,Deconvolved FM 4-64,0.0321862,0.0179305
490,Deconvolved FM 4-64,0.030412156,0.020021336
491,Deconvolved FM 4-64,0.032312915,0.026420562
492,Deconvolved FM 4-64,0.039092295,0.038585424
493,Deconvolved FM 4-64,0.029651852,0.04302053
494,Deconvolved FM 4-64,0.0387755,0.04067626
495,Deconvolved FM 4-64,0.048912887,0.04156328
496,Deconvolved FM 4-64,0.039535806,0.0340236
497,Deconvolved FM 4-64,0.026357202,0.040993053
498,Deconvolved FM 4-64,0.02699079,0.04200679
499,Deconvolved FM 4-64,0.040866334,0.032883145
500,Deconvolved FM 4-64,0.03174269,0.049483113
501,Deconvolved FM 4-64,0.037064817,0.042260226
502,Deconvolved FM 4-64,0.037761763,0.03883886
503,Deconvolved FM 4-64,0.029651852,0.04238694
504,Deconvolved FM 4-64,0.033770166,0.0387755
505,Deconvolved FM 4-64,0.031489253,0.03839535
506,Deconvolved FM 4-64,0.024266366,0.046758693
507,Deconvolved FM 4-64,0.031489253,0.044351064
508,Deconvolved FM 4-64,0.037001457,0.037318252
509,Deconvolved FM 4-64,0.040549543,0.039028935
510,Deconvolved FM 4-64,0.04257702,0.049483113
511,Deconvolved FM 4-64,0.029271701,0.038965575
512,FP2FM prediction,0.016705666,0.016340911
513,FP2FM prediction,0.018344719,0.01694663
514,FP2FM prediction,0.016944468,0.017566493
515,FP2FM prediction,0.01712225,0.01695283
516,FP2FM prediction,0.017188428,0.01646474
517,FP2FM prediction,0.017450191,0.0171983
518,FP2FM prediction,0.015996628,0.016405268
519,FP2FM prediction,0.015246295,0.016172117
520,FP2FM prediction,0.014030181,0.015823249
521,FP2FM prediction,0.015296118,0.016038299
522,FP2FM prediction,0.015237987,0.017739037
523,FP2FM prediction,0.015241113,0.01650261
524,FP2FM prediction,0.01558231,0.014718943
525,FP2FM prediction,0.016747598,0.0144249
526,FP2FM prediction,0.017398048,0.015215719
527,FP2FM prediction,0.01819198,0.016193004
528,FP2FM prediction,0.017954063,0.0161892
529,FP2FM prediction,0.01603951,0.015834982
530,FP2FM prediction,0.015256179,0.015607651
531,FP2FM prediction,0.016310321,0.0153660225
532,FP2FM prediction,0.01648228,0.015783634
533,FP2FM prediction,0.015905185,0.015850179
534,FP2FM prediction,0.016757274,0.01693293
535,FP2FM prediction,0.015983097,0.01537071
536,FP2FM prediction,0.01604757,0.01503937
537,FP2FM prediction,0.016465288,0.0149951205
538,FP2FM prediction,0.01693711,0.015593847
539,FP2FM prediction,0.016425608,0.0161038
540,FP2FM prediction,0.01673748,0.01592878
541,FP2FM prediction,0.015931541,0.016273065
542,FP2FM prediction,0.015997512,0.017511174
543,FP2FM prediction,0.015430912,0.016602034
544,FP2FM prediction,0.015340316,0.016870933
545,FP2FM prediction,0.015477662,0.016106106
546,FP2FM prediction,0.01516376,0.01744304
547,FP2FM prediction,0.015016647,0.016350249
548,FP2FM prediction,0.01497435,0.016777445
